Lemma 6.22: offset 252745, chars 22000
Lemma 6.23: offset 254907, chars 22000
Lemma 6.27: offset 266633, chars 22000
Lemma 6.30: offset 272155, chars 22000
Theorem 6.39: offset 294013, chars 22000
Corollary 6.40: offset 295666, chars 22000
Lemma 6.41: offset 297808, chars 22000
Theorem 6.43: offset 299863, chars 22000
Theorem 4.4: offset 95455, chars 22000
Lemma 4.27: offset 144677, chars 22000
