Corollary 4.14: offset 116937, chars 10200
Lemma 4.21: offset 130426, chars 10200
Lemma 4.22: offset 132231, chars 10200
Lemma 4.23: offset 134680, chars 10200
Lemma 4.24: offset 138140, chars 10200
Lemma 4.25: offset 140019, chars 10200
Lemma 4.26: offset 141768, chars 10200
Lemma 4.27: offset 144677, chars 10200
Lemma 4.28: offset 146003, chars 10200
Theorem 4.29: offset 147783, chars 10200
Theorem 4.30: offset 149487, chars 10200
Theorem 5.1: offset 154486, chars 10200
Lemma 5.20: offset 199157, chars 10200
Theorem 5.8: offset 175182, chars 10200
Lemma 6.12: offset 239810, chars 10200
Theorem 6.39: offset 294013, chars 10200
Theorem 6.43: offset 299863, chars 10200
Theorem 6.44: offset 301954, chars 10200
Lemma 8.2: offset 315142, chars 10200
Lemma 8.5: offset 320041, chars 10200
